Site,URL
Stalingrad Motherland,"https://www.google.com/maps/place/The+Motherland+Calls/@48.742036,44.5372934,3a,75y,334.26h,113.84t/data=!3m8!1e1!3m6!1sCIHM0ogKEICAgIDEj4TGNQ!2e10!3e11!6shttps:%2F%2Flh3.googleusercontent.com%2Fgpms-cs-s%2FAB8u6HYa4WnvcPdQOPdX2SHl3l5gYKlwzGyHp1kwrenLdUBYlTU4kW6N_0uRLjdBh81HD2CW_2cYuGwFuFEIZfmLcUdgksLj7va0MLNauNrMvrZWcZ1bCvWWqP4g3QmhQzvVQu_Q9ECj%3Dw900-h600-k-no-pi-23.835098420916438-ya3.898634236708233-ro0-fo100!7i8704!8i4352!4m9!3m8!1s0x411acaeb2335dc79:0xb82b0d0bdd465803!8m2!3d48.7423446!4d44.5370302!10e5!14m1!1BCgIgARICCAI!16s%2Fm%2F02vx1cg?entry=ttu&g_ep=EgoyMDI1MDkwMi4wIKXMDSoASAFQAw%3D%3D"
,"https://www.google.com/maps/place/The+Motherland+Calls/@48.7416169,44.5372475,3a,75y,3.14h,107.27t/data=!3m8!1e1!3m6!1sCIHM0ogKEICAgICsmsO9dg!2e10!3e11!6shttps:%2F%2Flh3.googleusercontent.com%2Fgpms-cs-s%2FAB8u6Hbz9CCu7ZZnofI0xBw5oMUbhEdf2cPDlsacWAELe1IIrBgIOhyufrKx-HmzWLUJbzEKpvz3NRrsCzflMxc8WdD-4vIdSMPv4W-YbXkeSFrDL-yacKOWUUpAFsHv8jFzflCMaZw%3Dw900-h600-k-no-pi-17.269745690557556-ya3.139164028774851-ro0-fo100!7i11962!8i5981!4m9!3m8!1s0x411acaeb2335dc79:0xb82b0d0bdd465803!8m2!3d48.7423446!4d44.5370302!10e5!14m1!1BCgIgARICCAI!16s%2Fm%2F02vx1cg?entry=ttu&g_ep=EgoyMDI1MDkwMi4wIKXMDSoASAFQAw%3D%3D"
,"https://www.google.com/maps/place/The+Motherland+Calls/@48.7422835,44.5390912,3a,75y,308.83h,91.67t/data=!3m8!1e1!3m6!1sCIHM0ogKEICAgICE5_rMUg!2e10!3e11!6shttps:%2F%2Flh3.googleusercontent.com%2Fgpms-cs-s%2FAB8u6HYSwwe7NhMS0g1oYVgzK82ALf8cpSTGOuKNCo9yMhxKAq-WhFV5ow5jNeb35GISZjn6IVCqkYt8x3MpKcW_pyHRo_LRLXi38IgOone8Go5N1AUOQ6QQsggLtYKwc_QQxwSYDxqc%3Dw900-h600-k-no-pi-1.6667927505443743-ya61.32755177588689-ro0-fo100!7i5376!8i2688!4m9!3m8!1s0x411acaeb2335dc79:0xb82b0d0bdd465803!8m2!3d48.7423446!4d44.5370302!10e5!14m1!1BCgIgARICCAI!16s%2Fm%2F02vx1cg?entry=ttu&g_ep=EgoyMDI1MDkwMi4wIKXMDSoASAFQAw%3D%3D"
,"https://www.google.com/maps/place/The+Motherland+Calls/@48.7422806,44.5373112,3a,75y,320.85h,140.34t/data=!3m8!1e1!3m6!1sCIHM0ogKEICAgIDEpcDfoAE!2e10!3e11!6shttps:%2F%2Flh3.googleusercontent.com%2Fgpms-cs-s%2FAB8u6HZfPcpcvgoySqa0ht-Omo6S5oAlR4npOIbYctm2PgecVLgUzJpiPki8nSFPjmuqcQZ5sZU8YpKde20LI9gjlCN2OzcXKkWX6d6H0GsZk45oP2EX5QEB1S4xLHwy16YWJG3HGEduNQ%3Dw900-h600-k-no-pi-50.339945465922-ya191.4729113288244-ro0-fo100!7i8704!8i4352!4m9!3m8!1s0x411acaeb2335dc79:0xb82b0d0bdd465803!8m2!3d48.7423446!4d44.5370302!10e5!14m1!1BCgIgARICCAI!16s%2Fm%2F02vx1cg?entry=ttu&g_ep=EgoyMDI1MDkwMi4wIKXMDSoASAFQAw%3D%3D"
,"https://www.google.com/maps/place/The+Motherland+Calls/@48.7423446,44.5370302,3a,75y,326.83h,94.14t/data=!3m8!1e1!3m6!1sCIHM0ogKEICAgIC4w9y-Uw!2e10!3e11!6shttps:%2F%2Flh3.googleusercontent.com%2Fgpms-cs-s%2FAB8u6HZ2_B6CKySmKdWWEu7-QZVG_KLI1BZ58YnsC5Xw67xJZiJ58mnj41iCwklBzAYJ4ROehZRZGwYFpZRLam2Qo60MAiqg-dJhr053CpvoaojtzvHEJowNO4WOhGK47rgi35L9x7dc%3Dw900-h600-k-no-pi-4.143100569701005-ya27.83065794592318-ro0-fo100!7i7680!8i3840!4m9!3m8!1s0x411acaeb2335dc79:0xb82b0d0bdd465803!8m2!3d48.7423446!4d44.5370302!10e5!14m1!1BCgIgARICCAI!16s%2Fm%2F02vx1cg?entry=ttu&g_ep=EgoyMDI1MDkwMi4wIKXMDSoASAFQAw%3D%3D"
,"https://www.google.com/maps/place/The+Motherland+Calls/@48.7423446,44.5370302,3a,75y,204.37h,99.6t/data=!3m8!1e1!3m6!1sCIHM0ogKEICAgIDE3aa9rgE!2e10!3e11!6shttps:%2F%2Flh3.googleusercontent.com%2Fgpms-cs-s%2FAB8u6HZ4A4Ih64JXTkSYyzDSfqezbt-0bIRKmMVZvFMGwfXPkst1e5naZE6cUGU9HjB3bwrp5nShQ-VKk_oV281rzwze53LOimTezW8IeRLvZOrSrER1GFRysC4NyQoVJTWm_fX5Rkqr%3Dw900-h600-k-no-pi-9.601795952971756-ya281.37400052537316-ro0-fo100!7i8000!8i4000!4m9!3m8!1s0x411acaeb2335dc79:0xb82b0d0bdd465803!8m2!3d48.7423446!4d44.5370302!10e5!14m1!1BCgIgARICCAI!16s%2Fm%2F02vx1cg?entry=ttu&g_ep=EgoyMDI1MDkwMi4wIKXMDSoASAFQAw%3D%3D"
,"https://www.google.com/maps/place/The+Motherland+Calls/@48.7418815,44.5387859,3a,75y,6.95h,86.35t/data=!3m8!1e1!3m6!1sCIHM0ogKEICAgIDEnqCpOw!2e10!3e11!6shttps:%2F%2Flh3.googleusercontent.com%2Fgpms-cs-s%2FAB8u6HaTM3K8597czNCA9K-sb0dkEL7k9j_xhSdm9HE98Ik4tuiyINb0PSn-wRS6yuiBQDYxqGVT6M2dmU5TQggpeUYd4ssZt066qX50rcg7l8eRt3SMkMa68B0_58nFxwYvDUQaeiIX%3Dw900-h600-k-no-pi3.653405201607441-ya6.953927839167871-ro0-fo100!7i10000!8i5000!4m9!3m8!1s0x411acaeb2335dc79:0xb82b0d0bdd465803!8m2!3d48.7423446!4d44.5370302!10e5!14m1!1BCgIgARICCAI!16s%2Fm%2F02vx1cg?entry=ttu&g_ep=EgoyMDI1MDkwMi4wIKXMDSoASAFQAw%3D%3D"
,"https://www.google.com/maps/place/The+Motherland+Calls/@48.7410583,44.5409734,3a,75y,31.6h,99.4t/data=!3m8!1e1!3m6!1sCIHM0ogKEICAgICE5_rM8gE!2e10!3e11!6shttps:%2F%2Flh3.googleusercontent.com%2Fgpms-cs-s%2FAB8u6Ha1I6P0OFjmSTAW_YM_vS0KBDO8C0Kc1SwT6dfv3J0KbUSgU1ydggq5W73DYh6_U3QeHIbDVm9BzhiTspSH5zA_NCwoEmmte9SNeoCrKJ-StObffQEeINiARRaxkSd9-vuo4nIr%3Dw900-h600-k-no-pi-9.402782746644178-ya99.09759613583304-ro0-fo100!7i5376!8i2688!4m9!3m8!1s0x411acaeb2335dc79:0xb82b0d0bdd465803!8m2!3d48.7423446!4d44.5370302!10e5!14m1!1BCgIgARICCAI!16s%2Fm%2F02vx1cg?entry=ttu&g_ep=EgoyMDI1MDkwMi4wIKXMDSoASAFQAw%3D%3D"
Lydia Litvak,"https://www.google.com/maps/@55.7808778,37.5996364,3a,23.1y,47.23h,88.17t/data=!3m8!1e1!3m6!1ssB79drg6f69RU-Id799xaQ!2e0!5s20190501T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D1.8299999999999983%26panoid%3DsB79drg6f69RU-Id799xaQ%26yaw%3D47.23!7i13312!8i6656?entry=ttu&g_ep=EgoyMDI1MDkwMi4wIKXMDSoASAFQAw%3D%3D"
,https://upload.wikimedia.org/wikipedia/commons/0/00/Litvyakplaque.jpg
Tatiana Samoilova,"https://www.google.com/maps/place//@55.7243587,37.5542934,3a,75y,77.87h,97.5t/data=!3m8!1e1!3m6!1sCIHM0ogKEICAgIDqi72eag!2e10!3e11!6shttps:%2F%2Flh3.googleusercontent.com%2Fgpms-cs-s%2FAB8u6HYAZqGwDNHEjIiPhP2p3EZfuBQ2JOSLC5f-Mq6zYM_o6-rYvxP7EpCp9A7Qy-z0vlpv9_xgspwbAe66EBLDKDud7IzJOzOdbCb-av7D1hxv2pPOJWmmQ5b67nD389sRxijmSWDH%3Dw900-h600-k-no-pi-7.5010823116418806-ya319.8740684016553-ro0-fo100!7i6144!8i3072!4m6!1m5!3m4!2zNTXCsDQzJzI3LjYiTiAzN8KwMzMnMTYuMiJF!8m2!3d55.7243306!4d37.5544917?entry=ttu&g_ep=EgoyMDI1MDkwMi4wIKXMDSoASAFQAw%3D%3D"
,https://images.findagrave.com/photos/2020/204/129401818_81f05eb4-91e6-4f8e-aaee-051a262a7538.jpeg
,https://upload.wikimedia.org/wikipedia/commons/8/87/%D0%9F%D0%B0%D0%BC%D1%8F%D1%82%D0%BD%D0%B8%D0%BA_%D0%A2%D0%B0%D1%82%D1%8C%D1%8F%D0%BD%D0%B5_%D0%A1%D0%B0%D0%BC%D0%BE%D0%B9%D0%BB%D0%BE%D0%B2%D0%BE%D0%B9_7.jpg
